ENTITY_CD;ENTITY_NAME;School_Year;PK;PKHALF;PKFULL;KFULL;Grade_1;Grade_2;Grade_3;Grade_4;Grade_5;Grade_6;Grade_7;Grade_8;Grade_9;Grade_10;Grade_11;Grade_12;UGE;UGS;K12
1;NYC Public Schools;2017;71970;2406;69564;69741;73282;73874;73022;74043;70478;67761;66243;67288;79984;76607;67411;64358;10031;10586;944709
2;Large Cities;2017;8682;1091;7591;8081;8347;8585;8488;8425;7879;7485;7238;7360;9023;7812;6187;6591;594;882;102977
3;High Need/Resource Urban-Suburban Districts;2017;12807;6538;6269;16369;16434;16678;16651;16218;15783;14968;14732;14849;16683;16141;14357;14401;933;1368;206565
4;High Need/Resource Rural Districts;2017;6945;3215;3730;11061;10747;10914;11153;11007;11061;10710;11037;10955;11299;11302;10609;10662;419;756;143692
5;NYC Public Schools;2018;71461;2416;69045;69016;70397;71162;72020;71670;72109;67751;67510;66830;79009;76234;66104;66657;9630;10708;936807
6;Large Cities;2018;8976;1002;7974;7701;7916;8113;8388;8328;8095;7625;7183;7277;9019;7731;6535;6615;627;917;102070
7;High Need/Resource Urban-Suburban Districts;2018;13597;6461;7136;16140;16171;16193;16421;16443;16030;15546;14859;14658;16435;16096;14770;14757;920;1330;206769
8;High Need/Resource Rural Districts;2018;7135;3069;4066;11022;10824;10540;10731;11022;10968;11055;10757;10887;11268;10752;10590;10546;406;741;142109
9;Average Need Districts;2018;19755;13990;5765;50344;52282;52816;53866;55336;56229;57042;55628;56528;60010;58559;57491;59043;2163;3980;732353
10;Average Need Districts;2017;19476;14154;5322;50297;52594;53512;54730;55676;56402;56087;56216;58239;59482;59338;58481;58898;2268;3936;737623
11;Low Need Districts;2017;2801;2226;575;22474;23854;24482;25467;26450;26961;27506;30226;30668;30454;30584;31994;31417;903;1678;365620
12;Charter Schools;2017;0;0;0;13329;13684;13168;12439;10341;10546;11429;10820;8919;7961;6522;5080;4318;159;68;128784
13;ALBANY County;2017;1428;244;1184;3032;2956;3066;2981;2929;2905;2892;2852;2944;3201;3014;2976;2799;154;250;38951
14;Low Need Districts;2018;3042;2434;608;22334;24030;24546;25101;26108;27005;27464;29119;30521;30556;30762;30551;32091;946;1654;363208
15;Charter Schools;2018;3;0;3;14250;14675;13842;13156;12113;11859;12067;11155;10263;8372;7175;5574;4848;111;101;139563
16;ALBANY County;2018;1436;254;1182;2997;3083;2949;3038;2971;2960;2881;2914;2861;3198;3024;2861;2983;139;250;39110
17;ALLEGANY County;2018;337;202;135;437;456;440;449;456;447;457;468;470;525;495;471;471;22;42;6106
18;BROOME County;2018;1275;708;567;2068;1954;1877;1912;1944;1937;1925;1953;1889;2032;1902;1991;1977;72;139;25572
19;NYC Public Schools;2016;71430;2819;68611;73497;75783;74904;74991;72622;70451;66287;66798;67720;82681;80231;65541;62599;9691;11207;955003
20;Large Cities;2016;7316;1044;6272;8411;8782;8681;8590;8262;7566;7546;7416;7392;9271;7785;6343;6601;607;879;104132
21;High Need/Resource Urban-Suburban Districts;2016;12088;6997;5091;16008;16942;16885;16410;16039;15230;14629;14963;14756;16936;15696;14085;14063;978;1301;205486
22;High Need/Resource Rural Districts;2016;6705;3476;3229;11111;11177;11368;11089;11066;10751;10877;11094;11047;11970;11281;10814;10743;423;774;145585
23;Average Need Districts;2016;19079;14303;4776;50115;53228;54473;55228;55878;55555;56883;57914;57644;60712;60467;58232;59619;2294;4076;744149
24;Low Need Districts;2016;2935;2380;555;22202;23747;24823;25834;26409;26973;28554;30422;30543;30296;32018;31328;31921;958;1676;368278
25;Charter Schools;2016;2;0;2;12816;13196;12771;10735;9076;9752;10924;9341;7849;7536;5717;4411;3366;63;64;117617
26;ALBANY County;2016;1101;239;862;2890;2995;2933;2927;2881;2897;2848;2970;2874;3258;3090;2797;2962;148;245;38715
27;ALLEGANY County;2016;344;302;42;457;488;461;443;469;479;495;521;494;508;499;460;503;15;39;6331
28;BROOME County;2016;1097;704;393;2024;1976;1978;1973;1940;1933;1899;2012;1920;2218;2089;1959;2025;79;169;26194
